country,unit,window_start,parameter,m,point,lower,upper,within_sd,between_sd,truth,covers,half_width
ARGENTINA,ARGENTINA,2013-12-29,a_temp,72,0.6895514647887325,-3.993738756568053,5.372841686145518,1.9609402700016672,1.3483302452777537,1.0,True,4.683290221356786
ARGENTINA,ARGENTINA,2013-12-29,a_rain,72,-0.21534428169014083,-1.6313064452388575,1.200617881858576,0.3150833406210642,0.6366293180069585,0.3,True,1.4159621635487167
ARGENTINA,ARGENTINA,2015-12-06,a_temp,72,2.9597254,-7.333287924048188,13.252738724048188,2.7502631565630837,4.3797438623193194,1.0,True,10.293013324048188
ARGENTINA,ARGENTINA,2015-12-06,a_rain,72,-0.3749036769230769,-2.493371208093064,1.74356385424691,0.5025880194813181,0.935723123412568,0.3,True,2.118467531169987
ARGENTINA,ARGENTINA,2019-12-22,a_temp,72,3.768680569230769,-9.067862751291555,16.60522388975309,4.586952226511307,4.595328887793118,1.0,True,12.836543320522324
ARGENTINA,ARGENTINA,2019-12-22,a_rain,72,0.6620732173913043,-2.6508066194379256,3.9749530542205345,1.5838340523702035,0.5848447527073486,0.3,True,3.31287983682923
BARBADOS,BARBADOS,2020-08-23,a_temp,72,1.5714285714285714e-07,-12.220825022265936,12.22082533655165,6.235229461257864,7.149686176494759e-07,1.0,True,12.220825179408793
BARBADOS,BARBADOS,2020-08-23,a_rain,72,0.2566594428571429,-0.3867367819890869,0.9000556677033728,0.29573484338752315,0.14101389626667396,0.3,True,0.6433962248462298
BELIZE,BELIZE,2014-04-13,a_temp,72,0.0826529705882353,-1.5109679089737538,1.6762738501502243,0.7950963581846356,0.1687237526280596,1.0,True,1.593620879561989
BELIZE,BELIZE,2014-04-13,a_rain,72,0.25464560294117655,0.07456791898557535,0.43472328689677775,0.07768668329843774,0.048450276937162626,0.3,True,0.1800776839556012
BELIZE,BELIZE,2019-04-28,a_temp,72,0.3776438166666667,-2.728791215673972,3.4840788490073056,1.3644249146336953,0.7956424851936122,1.0,True,3.106435032340639
BELIZE,BELIZE,2019-04-28,a_rain,72,0.2847358333333333,-0.09239609272449534,0.6618677593911619,0.08770334079203217,0.16713114011449737,0.3,True,0.37713192605782864
BOLIVIA,BENI,2017-11-19,a_temp,72,0.7807226323529413,-4.542503982409041,6.103949247114924,2.5619794943563687,0.8932369249978468,1.0,True,5.323226614761983
