country,unit,window_start,arm,observation,temp_form,rain_lag,train_frac,structure,aic_climate,aic_constant,delta_aic,climate_wins,weeks,cases
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,loglinear,7,1.0,hostvector,367.7163,365.9842,1.7321,0,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,loglinear,7,1.0,hostvector,367.7163,365.9842,1.7321,0,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,loglinear,7,1.0,seir,361.1997,359.2413,1.9584,0,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,loglinear,7,1.0,seir,361.1997,359.2413,1.9584,0,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,loglinear,7,0.75,hostvector,300.0941,298.5083,1.5858,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,loglinear,7,0.75,hostvector,300.0941,298.5083,1.5858,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,nb,loglinear,7,0.75,seir,294.3013,291.536,2.7653,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,nb,loglinear,7,0.75,seir,294.3013,291.536,2.7653,0,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,3,1.0,hostvector,617.5624,723.1047,-105.5423,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,3,1.0,hostvector,617.5624,723.1047,-105.5423,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,3,1.0,seir,571.5501,667.3854,-95.8353,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,3,1.0,seir,571.5501,667.3854,-95.8353,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,3,0.75,hostvector,549.6974,649.4702,-99.7728,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,3,0.75,hostvector,549.6974,649.4702,-99.7728,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,3,0.75,seir,499.9306,593.6566,-93.726,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,3,0.75,seir,499.9306,593.6566,-93.726,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,5,1.0,hostvector,612.8996,723.1047,-110.2051,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,5,1.0,hostvector,612.8996,723.1047,-110.2051,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,5,1.0,seir,562.4349,667.3854,-104.9506,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,5,1.0,seir,562.4349,667.3854,-104.9506,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,5,0.75,hostvector,548.8753,649.4702,-100.5949,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,5,0.75,hostvector,548.8753,649.4702,-100.5949,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,5,0.75,seir,496.5391,593.6566,-97.1175,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,5,0.75,seir,496.5391,593.6566,-97.1175,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,7,1.0,hostvector,621.0786,723.1047,-102.0261,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,7,1.0,hostvector,621.0786,723.1047,-102.0261,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,7,1.0,seir,576.8378,667.3854,-90.5476,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,7,1.0,seir,576.8378,667.3854,-90.5476,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,7,0.75,hostvector,556.4898,649.4702,-92.9803,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,7,0.75,hostvector,556.4898,649.4702,-92.9803,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,briere,7,0.75,seir,510.2749,593.6566,-83.3817,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,briere,7,0.75,seir,510.2749,593.6566,-83.3817,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,3,1.0,hostvector,702.1448,723.1047,-20.96,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,3,1.0,hostvector,702.1448,723.1047,-20.96,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,3,1.0,seir,644.0895,667.3854,-23.2959,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,3,1.0,seir,644.0895,667.3854,-23.2959,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,3,0.75,hostvector,636.3825,649.4702,-13.0876,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,3,0.75,hostvector,636.3825,649.4702,-13.0876,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,3,0.75,seir,579.0329,593.6566,-14.6238,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,3,0.75,seir,579.0329,593.6566,-14.6238,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,5,1.0,hostvector,700.0647,723.1047,-23.04,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,5,1.0,hostvector,700.0647,723.1047,-23.04,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,5,1.0,seir,643.8941,667.3854,-23.4914,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,5,1.0,seir,643.8941,667.3854,-23.4914,1,36,2837.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,5,0.75,hostvector,634.7006,649.4702,-14.7695,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,5,0.75,hostvector,634.7006,649.4702,-14.7695,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,5,0.75,seir,579.2257,593.6566,-14.4309,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,thorough,poisson,loglinear,5,0.75,seir,579.2257,593.6566,-14.4309,1,27,2582.0
ARGENTINA,ARGENTINA,2013-12-29,as_run,poisson,loglinear,7,1.0,hostvector,691.5583,723.1047,-31.5464,1,36,2837.0
