threshold,unstable,density
-14.0,0.9638009049773756,0.021304675716440423
-12.0,0.9683257918552036,0.023881347410759174
-10.0,0.9728506787330317,0.024981146304675718
-8.0,0.9683257918552036,0.029191804927099045
-6.0,0.9728506787330317,0.031642785319255906
-4.0,0.9683257918552036,0.04342634489693313
-2.0,0.9502262443438914,0.05426721970839618
0.0,0.918552036199095,0.06859602815485169
2.0,0.8959276018099548,0.1044808949220714
4.0,0.4796380090497738,0.10328682755153343
6.0,0.37104072398190047,0.000471342383107089
