country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,params,delta_aic,climate_wins,climate_wins_margin4
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,hostvector,central,3.437,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,hostvector,alt,3.629,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,seir,central,1.576,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,seir,alt,1.713,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,hostvector_tempmort,central,0.561,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,1.0,hostvector_tempmort,alt,1.563,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,hostvector,central,3.879,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,hostvector,alt,3.873,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,seir,central,3.096,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,seir,alt,3.096,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,hostvector_tempmort,central,3.776,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,5,0.75,hostvector_tempmort,alt,3.789,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,hostvector,central,3.138,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,hostvector,alt,3.324,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,seir,central,1.439,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,seir,alt,1.567,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,hostvector_tempmort,central,-0.45,1,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,1.0,hostvector_tempmort,alt,0.721,0,0
BOLIVIA,BOLIVIA,2015-01-11,no_effect,nb,loglinear,7,0.75,hostvector,central,3.423,0,0
