country,unit,window_start,truth,observation,temp_form,rain_lag,train_frac,structure,delta_aic,climate_wins,climate_wins_margin4
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,3,0.75,seir,-8.763,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,5,1.0,hostvector,-12.182,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,5,1.0,seir,-4.504,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,5,0.75,hostvector,-12.179,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,5,0.75,seir,-4.504,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,7,1.0,hostvector,-10.923,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,7,1.0,seir,-6.685,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,7,0.75,hostvector,-10.92,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,briere,7,0.75,seir,-6.684,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,3,1.0,hostvector,-12.808,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,3,1.0,seir,-8.653,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,3,0.75,hostvector,-12.805,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,3,0.75,seir,-8.653,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,5,1.0,hostvector,1037.445,False,False
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,5,1.0,seir,-7.599,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,5,0.75,hostvector,-12.753,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,5,0.75,seir,-7.599,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,7,1.0,hostvector,-13.042,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,7,1.0,seir,-6.92,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,7,0.75,hostvector,-13.039,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,nb,loglinear,7,0.75,seir,-6.92,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,3,1.0,hostvector,-23.539,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,3,1.0,seir,-30.984,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,3,0.75,hostvector,-23.529,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,3,0.75,seir,-30.983,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,5,1.0,hostvector,-26.998,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,5,1.0,seir,-3.761,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,5,0.75,hostvector,-26.987,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,5,0.75,seir,-3.76,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,7,1.0,hostvector,-1.886,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,7,1.0,seir,3.837,False,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,7,0.75,hostvector,-1.876,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,briere,7,0.75,seir,3.837,False,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,3,1.0,hostvector,-18.088,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,3,1.0,seir,-30.194,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,3,0.75,hostvector,-18.078,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,3,0.75,seir,-30.193,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,5,1.0,hostvector,-27.321,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,5,1.0,seir,-3.848,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,5,0.75,hostvector,-27.313,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,5,0.75,seir,-3.847,True,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,7,1.0,hostvector,14.365,False,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,7,1.0,seir,2.096,False,False
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,7,0.75,hostvector,-89.717,True,True
ARGENTINA,ARGENTINA,2013-12-29,climate,poisson,loglinear,7,0.75,seir,2.089,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,3,1.0,hostvector,3.537,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,3,1.0,seir,3.297,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,3,0.75,hostvector,3.989,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,3,0.75,seir,3.709,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,5,1.0,hostvector,3.791,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,5,1.0,seir,3.898,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,5,0.75,hostvector,3.892,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,5,0.75,seir,3.691,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,7,1.0,hostvector,3.999,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,7,1.0,seir,3.893,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,7,0.75,hostvector,3.996,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,briere,7,0.75,seir,3.999,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,3,1.0,hostvector,3.129,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,3,1.0,seir,3.28,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,3,0.75,hostvector,3.29,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,3,0.75,seir,3.168,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,5,1.0,hostvector,3.1,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,5,1.0,seir,3.824,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,5,0.75,hostvector,3.489,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,5,0.75,seir,3.62,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,7,1.0,hostvector,3.246,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,7,1.0,seir,3.826,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,7,0.75,hostvector,3.329,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,nb,loglinear,7,0.75,seir,3.817,False,False
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,3,1.0,hostvector,-114.289,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,3,1.0,seir,-12.653,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,3,0.75,hostvector,-246.705,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,3,0.75,seir,-182.127,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,5,1.0,hostvector,-126.234,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,5,1.0,seir,-12.076,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,5,0.75,hostvector,-236.011,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,5,0.75,seir,-140.057,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,7,1.0,hostvector,-108.304,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,7,1.0,seir,-11.211,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,7,0.75,hostvector,-229.801,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,briere,7,0.75,seir,-141.832,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,3,1.0,hostvector,-531.316,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,3,1.0,seir,-206.859,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,3,0.75,hostvector,-863.038,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,3,0.75,seir,-634.402,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,5,1.0,hostvector,-544.33,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,5,1.0,seir,-257.307,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,5,0.75,hostvector,-481.143,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,5,0.75,seir,-311.32,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,7,1.0,hostvector,-550.927,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,7,1.0,seir,-219.647,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,7,0.75,hostvector,-582.336,True,True
ARGENTINA,ARGENTINA,2015-12-06,no_effect,poisson,loglinear,7,0.75,seir,-360.793,True,True
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,3,1.0,hostvector,2.456,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,3,1.0,seir,-0.216,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,3,0.75,hostvector,2.485,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,3,0.75,seir,-0.222,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,5,1.0,hostvector,3.912,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,5,1.0,seir,3.978,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,5,0.75,hostvector,3.923,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,5,0.75,seir,3.977,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,7,1.0,hostvector,2.652,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,7,1.0,seir,1.869,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,7,0.75,hostvector,2.671,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,briere,7,0.75,seir,1.869,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,3,1.0,hostvector,2.683,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,3,1.0,seir,-0.479,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,3,0.75,hostvector,2.662,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,3,0.75,seir,-0.592,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,5,1.0,hostvector,4.657,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,5,1.0,seir,-0.122,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,5,0.75,hostvector,2.853,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,5,0.75,seir,-0.441,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,7,1.0,hostvector,2.433,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,7,1.0,seir,-0.124,True,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,7,0.75,hostvector,2.392,False,False
ARGENTINA,ARGENTINA,2015-12-06,climate,nb,loglinear,7,0.75,seir,-0.351,True,False
