country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BOLIVIA,BOLIVIA,2015-01-11,nb,7,0.75,seir,central,1.0,0.3,0.244089,0.291318,0.219458,-0.412725,0.121029,0.94969,0.194447
BOLIVIA,BOLIVIA,2015-01-11,nb,7,0.75,seir,alt,1.0,0.3,0.244089,0.382986,0.273905,-0.389448,0.127769,1.201902,0.286151
BOLIVIA,BOLIVIA,2015-01-11,nb,7,0.75,hostvector_tempmort,central,1.0,0.3,0.244089,0.0,0.000485,-0.211962,0.096005,0.278035,0.02798
BOLIVIA,BOLIVIA,2015-01-11,nb,7,0.75,hostvector_tempmort,alt,1.0,0.3,0.244089,0.0,,-0.179672,,0.219454,
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,hostvector,central,1.0,0.3,0.244089,0.858317,0.287049,0.402428,0.062816,0.224018,0.023124
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,hostvector,alt,1.0,0.3,0.244089,1.278953,0.334102,0.422463,0.064849,0.214497,0.023447
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,seir,central,1.0,0.3,0.244089,0.467194,0.367083,0.510053,0.086174,0.376302,0.063441
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,seir,alt,1.0,0.3,0.244089,0.77913,0.451187,0.477854,0.089323,0.540017,0.108152
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.244089,0.968905,0.295069,0.409085,0.064656,0.232218,0.02538
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.244089,1.37162,0.338464,0.426447,0.065885,0.221455,0.025025
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,hostvector,central,1.0,0.3,0.244089,0.842389,0.347323,0.403395,0.075532,0.222679,0.027901
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,hostvector,alt,1.0,0.3,0.244089,1.257687,0.402707,0.423403,0.077809,0.21286,0.028137
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,seir,central,1.0,0.3,0.244089,0.42777,0.454273,0.514869,0.10505,0.369547,0.077667
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,seir,alt,1.0,0.3,0.244089,0.764326,0.545806,0.479196,0.107657,0.536507,0.130236
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,hostvector_tempmort,central,1.0,0.3,0.244089,0.958067,0.356345,0.409788,0.077754,0.231258,0.03059
BOLIVIA,BOLIVIA,2015-01-11,poisson,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.244089,1.356209,0.407785,0.427097,0.079104,0.220224,0.030053
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,hostvector,central,1.0,0.3,0.244089,3.151764,0.674378,0.410994,0.093205,0.336314,0.051807
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,hostvector,alt,1.0,0.3,0.244089,4.065861,0.714219,0.500077,0.091243,0.341537,0.054405
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,seir,central,1.0,0.3,0.244089,3.023488,1.170588,0.382546,0.184766,0.718696,0.221553
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,seir,alt,1.0,0.3,0.244089,4.022062,1.437291,0.437728,0.198989,1.207443,0.449619
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,hostvector_tempmort,central,1.0,0.3,0.244089,3.324678,0.678918,0.417871,0.095302,0.354519,0.055921
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.244089,4.195722,0.712899,0.504165,0.091979,0.356109,0.057299
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,hostvector,central,1.0,0.3,0.244089,3.150927,0.810441,0.41092,0.112005,0.336251,0.062247
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,hostvector,alt,1.0,0.3,0.244089,4.06252,0.858192,0.499807,0.109623,0.341267,0.065323
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,seir,central,1.0,0.3,0.244089,3.023232,1.406764,0.382536,0.222047,0.718638,0.266235
BOLIVIA,BOLIVIA,2015-01-11,poisson,5,0.75,seir,alt,1.0,0.3,0.244089,4.021905,1.727339,0.437728,0.239149,1.207368,0.540322
