a_temp,trend_c_per_year
0.11535000000000001,-30.816680102152777
-0.049449999999999994,-1.9325345098575928
0.04535,-9.101289037160559
0.1405,-3.840982008995487
0.0276,-4.7769220982635305
0.19315,2.4341415046884505
0.19035,-4.576415739803589
0.051000000000000004,-5.189889530867868
0.09895,1.751656739811909
0.05205,4.700752127183128
-0.0039,2.5550806808134188
-0.06265,-4.0052932437804944
-0.032799999999999996,-5.244980694980694
-0.118,-2.7847629589577587
0.08965000000000001,-1.529510188087774
0.13395,0.24822129951749602
0.17445,2.574790068422081
0.10815,3.7356511979009674
-0.04115,-11.289343854431118
0.1065,-4.917730286954423
0.15385,-7.977164981036741
-0.23025,-2.8068097174292244
0.1108,-8.884271151885782
0.2814,-1.681487806119328
-0.1362,-14.207360179977519
-0.41305000000000003,-6.420693633385543
-0.40349999999999997,-6.302323242795008
0.01165,-10.029224094836808
0.13355,-0.03563779527560162
-0.06515,-1.5849460916442921
0.1002,-4.264667070217931
0.27465,1.9964362049744722
0.16235,-2.8525563892768586
-0.09025,-3.9767220209340377
0.0,-3.7272440999662617
-0.005249999999999998,-2.365736482939592
-0.0989,4.940861082355625
0.1417,5.127027027027026
-0.0932,-10.874220752041538
0.04635,1.748006796681932
0.26155,-0.08604706614141557
0.30215000000000003,-4.54019275322028
-0.04605,6.0833641255105855
0.17155,18.612406026546545
-0.04505,2.352271697455541
-0.07239999999999999,-14.681231265249242
-0.118,-10.426033446424315
0.1152,-4.195621767183917
0.0085,-0.7447195887068802
-0.1443,-5.407267261040938
-0.20535,-0.3701163691469361
0.00555,-16.029102756314067
0.1547,-15.388691624467514
-0.26475,-13.015728892609447
-0.2817,-7.326104719402632
-0.20800000000000002,11.76304405166987
-0.42005000000000003,-7.493662483442343
-0.3952,-2.02541373420198
-0.2353,-2.665912164517266
-0.0049499999999999995,-11.903042684861926
-0.0684,-16.530039524284355
-0.05355,-5.6585008285782665
0.01885,-17.48170640680083
0.0616,0.6593023961496972
0.027800000000000002,-2.1285358893979867
0.2954,6.318331987852296
0.08025,2.665921264620351
-0.00635,13.795199240986712
-0.39505,-10.009158200290342
0.041550000000000004,-0.6756009022777701
0.00075,3.4554374774231147
-0.22655,-4.369640105330583
-0.17409999999999998,-1.670437565308285
0.00875,-1.7075034060855656
0.0765,8.312974515665063
0.1839,3.842199619024856
0.15305000000000002,0.5500327826956531
0.0157,-6.731616667236138
-0.01055,3.992008075006176
0.13305,0.5010865284140982
0.10645,6.361853560232825
-0.0811,-0.5037530266343713
-0.00405,-6.34946436771558
0.01695,-2.6398940221371574
0.01055,-3.259060265465416
0.044700000000000004,-0.3057241619481402
-0.0556,0.9891780542876221
0.1347,0.20971277689096016
0.049,-1.3661666887707187
0.05405,3.1341315167351196
0.01715,9.05499946606212
-0.04875,3.254413595045981
-0.01205,-7.933112866643524
0.19185,-0.10302922233234685
-0.14505,-5.744506611542025
0.0309,-8.794591486979185
-0.1361,-2.830769913558807
0.0645,-4.642386895901867
-0.022449999999999998,-0.025976966873736733
-0.02895,1.8410771175400156
0.043399999999999994,-6.5674631637475684
-0.06885,-1.7010082589824416
-0.021400000000000002,-4.230107005925448
-0.05605,-16.02079324838553
0.13340000000000002,4.424286829025569
0.14925,-0.2720841441942027
-0.13974999999999999,-4.348181770651836
0.00075,-18.192161438774203
0.0,-5.274654870991072
0.03575,-4.024793160507464
-0.1716,-1.180808966735888
-0.18705,-17.972805868109972
0.6567000000000001,3.49815169338417
-0.37685,-13.141122753052056
0.062,-5.26881246112384
-0.14585,-1.0780522717561334
-0.19340000000000002,-7.99268706411697
-0.15675,-19.161390662195824
-0.33240000000000003,-10.440357727876611
0.14005,-4.279155998923599
-0.005,-4.603546010564358
0.0809,-4.543139195934544
0.03875,-0.167225330014694
-0.48035,-7.826936916157271
0.06235,-2.417754593362784
0.08535000000000001,1.7381039025779614
-0.10695,-5.790167466771477
0.1649,-0.24062737466405337
0.24425000000000002,-0.6173139125026467
-0.1765,4.173048807154903
0.00545,-10.01684426999692
-0.4259,-12.161965063478812
-0.0674,-5.472415301228093
-0.14395,-7.967966538863748
0.0246,-7.514434932883222
0.1085,-7.753238197981665
-0.0753,-5.584042515311227
0.028300000000000002,-8.289100383408895
-0.045149999999999996,-7.6653148180093
-0.09325,-12.317530076882113
0.0203,7.818921334833113
-0.01885,-2.611419238254132
0.08935,-3.3239654719993315
0.0031,2.123742700470035
-0.08245,3.8756093040496737
0.016849999999999997,-3.9514400691336884
0.153,-2.9279947664275756
0.0043,-11.863568665040106
0.41015,-8.772074224802537
0.23015,-14.96400231790253
0.16335,-1.3783089224618157
0.0743,-0.9474576035585139
0.016399999999999998,-6.655153045230659
-0.057550000000000004,-5.672441578890266
-0.24314999999999998,-1.1880004228654364
-0.18135,-1.0560612208289615
-0.0613,-3.3602979586052086
0.14300000000000002,-3.283122771482439
-0.0265,-3.877400793650849
0.0,-2.4903502000831197
-0.0737,-4.2743626264065275
-0.18914999999999998,-3.3022926601700884
0.038900000000000004,-4.6765397588386755
-0.14500000000000002,-6.062350509751129
0.1257,-12.042578270785858
-0.0621,-4.0798420460511595
-0.18995,-7.531529323754362
0.28855,-5.534318208200603
-0.0074,-2.9244897959183587
-0.09129999999999999,-7.159330208782238
-0.00885,-5.079212269083365
-0.07730000000000001,-1.8212221555539128
-0.02135,-1.653418979819219
-0.013999999999999999,-2.1671486789073118
-0.1933,-1.38912340492985
0.24305,9.944977918816402
-0.0808,23.15251394399407
-0.05925,4.27596635212824
0.0472,-6.742397150356231
-0.23809999999999998,-5.173535466566436
-0.12465,-1.3691085522944069
0.04645,-3.184327375017803
0.0,1.3312053649682176
-0.15455,-9.578608580325161
0.02555,0.011692259029155442
-0.021650000000000003,-1.9789639961556529
0.16144999999999998,-0.8316808698207537
-0.23904999999999998,-1.2043590367032209
-0.052599999999999994,-1.7007823022122468
0.07995,4.4504134349266735
-0.0014,4.007443064182167
0.020249999999999997,4.5215421769880875
-0.029249999999999998,-2.92831790343253
0.10594999999999999,4.012598461681055
-0.06215,-9.180965974940424
0.08124999999999999,-6.088395382127548
0.07565,-7.373370974190981
0.030150000000000003,7.109797982968211
0.06325,0.3949935878465078
0.09735,-0.022451807626384664
0.12945,4.567627213803709
0.0624,-6.072225466457764
-0.0135,-1.0087763483943835
-0.1168,16.442192347882
0.07020000000000001,2.3423288127132014
-0.11755,0.3995313881520794
0.0709,-5.773140160688878
-0.028399999999999998,1.71413278892246
0.05935,7.603107292507632
0.13390000000000002,5.314367528496014
0.0171,-0.32202487222120824
0.12090000000000001,-0.7683077019647112
