window,model,parameter,estimate,prof_lo,prof_hi,ratio,unbounded,max_drop
national_2013,climate,beta_0,0.15986901995224106,0.15986901995224106,0.15986901995224106,1.0,False,164348.46684481305
national_2013,climate,a_temp,0.21460023467906633,0.21428571428571427,0.3214285714285714,1.5,False,102.22562531432112
national_2013,climate,a_rain,-0.13438969731505,-0.13438969731505002,-0.13438969731505002,,False,12385.842591909828
national_2013,climate,pop_frac,0.004294071734980447,0.0027185334117513817,0.00852454535448665,3.1357147635698235,False,24.25696937093244
national_2013,climate,i0_frac,0.0008990566367544484,0.00018151640444070876,0.004453056673212406,24.532530197109377,True,0.7891958542166435
national_2013,constant,beta_0,0.1371987677860975,0.13719876778609752,0.13719876778609752,1.0,False,334626.4404441842
national_2013,constant,pop_frac,0.002614467119197779,0.0016551927066250807,0.005190212206717357,3.1357147635698213,False,28.14006485226821
national_2013,constant,i0_frac,6.192805695376094e-06,1.2503059065139044e-06,3.0673167407176516e-05,24.53253019710933,True,1.6391165335629694
sindh_2021,climate,beta_0,0.10250755983870688,0.08156213495106751,0.1619162793521198,1.9851893216044438,False,2413.542462411591
sindh_2021,climate,a_temp,2.357635367647412e-05,0.0,0.5357142857142857,,False,6.241054629687028
sindh_2021,climate,a_rain,0.1580466999827903,0.015189557125647402,0.3009038428399331,19.80991548014657,False,54.5236618688287
sindh_2021,climate,pop_frac,0.0025689154595144106,0.0010296285389158105,0.012723921566504755,12.357778641123263,False,17.904104471960792
sindh_2021,climate,i0_frac,0.07354632076168167,0.014848746073101562,0.11617042329859914,7.82358474760649,False,25.769593067181887
sindh_2021,constant,beta_0,0.14199174901006176,0.11297849849239822,0.14199174901006179,1.2568032935896711,False,428.7590692908783
sindh_2021,constant,pop_frac,0.0012063049626783783,0.0009598200202300077,0.0019054244548227725,1.9851893216044438,False,99.99615154279857
sindh_2021,constant,i0_frac,0.06122434650505751,0.03084055804590748,0.12154191890405051,3.9409766426123096,False,17.10950557752996
kp_2021,climate,beta_0,0.16686840227441266,0.16686840227441269,0.16686840227441269,1.0,False,892.4963213621945
kp_2021,climate,a_temp,9.357622968840175e-14,0.0,0.3214285714285714,,False,227.2466631190901
kp_2021,climate,a_rain,-0.0662381266724504,-0.20909526952959323,0.07661901618469247,,False,93.67889249430642
kp_2021,climate,pop_frac,0.0012675462677329131,0.0012675462677329136,0.0012675462677329136,1.0,False,495.79216456959955
kp_2021,climate,i0_frac,0.02503001734869622,0.012608377990098596,0.0496893231602057,3.9409766426123096,False,8.617427406765017
kp_2021,constant,beta_0,0.1705533314888931,0.1705533314888931,0.1705533314888931,1.0,False,1031.2659447198748
kp_2021,constant,pop_frac,0.0012482395812186008,0.001248239581218601,0.001248239581218601,1.0,False,496.71920693116397
kp_2021,constant,i0_frac,0.018093447720636778,0.014396403807121191,0.022739904687688828,1.5795545187778435,False,46.75137418865563
