specification,share_endorsing_climate,observation,temp_form,rain_lag,train_frac,structure,params
poisson|briere|5|0.75|hostvector_tempmort|alt,0.8643,poisson,briere,5,0.75,hostvector_tempmort,alt
poisson|briere|7|1.0|hostvector_tempmort|alt,0.8643,poisson,briere,7,1.0,hostvector_tempmort,alt
poisson|briere|7|1.0|seir|central,0.8643,poisson,briere,7,1.0,seir,central
poisson|briere|3|0.75|hostvector|alt,0.8643,poisson,briere,3,0.75,hostvector,alt
poisson|briere|3|0.75|hostvector|central,0.8643,poisson,briere,3,0.75,hostvector,central
poisson|briere|3|0.75|hostvector_tempmort|alt,0.8597,poisson,briere,3,0.75,hostvector_tempmort,alt
poisson|briere|5|0.75|hostvector_tempmort|central,0.8552,poisson,briere,5,0.75,hostvector_tempmort,central
poisson|briere|3|0.75|hostvector_tempmort|central,0.8507,poisson,briere,3,0.75,hostvector_tempmort,central
poisson|briere|5|0.75|hostvector|central,0.8507,poisson,briere,5,0.75,hostvector,central
poisson|briere|7|0.75|seir|alt,0.8507,poisson,briere,7,0.75,seir,alt
poisson|briere|5|0.75|hostvector|alt,0.8462,poisson,briere,5,0.75,hostvector,alt
poisson|briere|7|0.75|hostvector_tempmort|alt,0.8416,poisson,briere,7,0.75,hostvector_tempmort,alt
poisson|briere|7|0.75|hostvector|alt,0.8371,poisson,briere,7,0.75,hostvector,alt
poisson|briere|7|0.75|seir|central,0.8371,poisson,briere,7,0.75,seir,central
poisson|briere|5|0.75|seir|alt,0.8371,poisson,briere,5,0.75,seir,alt
poisson|briere|7|0.75|hostvector_tempmort|central,0.8371,poisson,briere,7,0.75,hostvector_tempmort,central
poisson|briere|7|0.75|hostvector|central,0.8326,poisson,briere,7,0.75,hostvector,central
poisson|briere|5|0.75|seir|central,0.8281,poisson,briere,5,0.75,seir,central
nb|loglinear|7|1.0|hostvector|central,0.6968,nb,loglinear,7,1.0,hostvector,central
nb|loglinear|7|1.0|hostvector_tempmort|central,0.6923,nb,loglinear,7,1.0,hostvector_tempmort,central
nb|loglinear|7|1.0|hostvector|alt,0.6923,nb,loglinear,7,1.0,hostvector,alt
nb|loglinear|5|1.0|hostvector_tempmort|central,0.6742,nb,loglinear,5,1.0,hostvector_tempmort,central
nb|loglinear|5|1.0|hostvector|central,0.6697,nb,loglinear,5,1.0,hostvector,central
nb|loglinear|7|1.0|hostvector_tempmort|alt,0.6697,nb,loglinear,7,1.0,hostvector_tempmort,alt
nb|loglinear|5|1.0|hostvector|alt,0.6652,nb,loglinear,5,1.0,hostvector,alt
nb|loglinear|3|1.0|hostvector_tempmort|central,0.6652,nb,loglinear,3,1.0,hostvector_tempmort,central
nb|loglinear|7|1.0|seir|central,0.6652,nb,loglinear,7,1.0,seir,central
nb|loglinear|7|1.0|seir|alt,0.6652,nb,loglinear,7,1.0,seir,alt
