window,model,replicate,R0,pop_at_risk_M,beta_0,a_temp,a_rain,pop_frac,i0_frac
national_2013,climate,0,1.6726663942743893,1.1032235683234635,0.16726663942743894,0.27663178518468995,-0.13786486748014926,0.005868210469805657,0.0013497835149352993
national_2013,climate,1,1.6750646297117995,0.9045215220519008,0.16750646297117994,0.1889964753456094,-0.15294809779136398,0.00481128469176543,0.00016221923943015982
national_2013,climate,2,1.5785390153921246,0.6634125759492018,0.15785390153921247,0.20905459282701563,-0.13375737216192288,0.0035287902976021373,0.0009404452667669434
national_2013,climate,3,1.5530585939240549,0.9630679191095523,0.1553058593924055,0.22335893026182646,-0.08880496547092788,0.005122701697391235,0.0014657095108917516
national_2013,climate,4,1.6381133053075372,0.6468928444980271,0.16381133053075372,0.16341933380242032,-0.16162921259283655,0.0034409193856278037,0.00014451567016648647
national_2013,climate,5,1.541728201526068,0.7797910044079575,0.1541728201526068,0.24029220589132635,-0.09550413955583084,0.004147824491531688,0.0024188769318067237
national_2013,climate,6,1.5187264140581305,0.6004643172421312,0.15187264140581305,0.20366485555122293,-0.0978773871901449,0.003193959134266655,0.0020962155656182495
national_2013,climate,7,1.5170086365708957,0.48109123281726296,0.15170086365708957,0.16104622774128063,-0.10094343617330848,0.0025589959192407604,0.0005696694424874726
national_2013,climate,8,1.546272316946179,0.5389212657831982,0.1546272316946179,0.1770863843071468,-0.16005958190690936,0.002866602477570203,0.000870410242761825
national_2013,climate,9,1.6105082513701499,0.5363370132438077,0.161050825137015,0.2428907880199962,-0.11882770401607273,0.002852856453424509,0.001857451992451822
national_2013,climate,10,1.631496470989198,0.6064015757952479,0.1631496470989198,0.17073015476429312,-0.12608684230881695,0.0032255402967832337,0.0002794120800845998
national_2013,climate,11,1.600799272035855,1.0621488681618194,0.1600799272035855,0.218485210776434,-0.13072964048029775,0.005649728022137337,0.0009361532767869281
national_2013,climate,12,1.607083173336792,0.5379672519929884,0.1607083173336792,0.18556543757975438,-0.1805399233103227,0.002861527936132917,0.00040275925465476384
national_2013,climate,13,1.598107524249663,0.6257610466807844,0.15981075242496628,0.18249360101094278,-0.1748878399665025,0.003328516205748853,0.00045723372143945384
national_2013,climate,14,1.615331040934631,0.8420238552271369,0.1615331040934631,0.254323409360551,-0.1398772096904825,0.004478850293761366,0.0018744764461597135
national_2013,climate,15,1.5648639390911119,0.5656762483769339,0.15648639390911118,0.2158322339144499,-0.14387387150404832,0.0030089162147709245,0.001402666805897501
national_2013,climate,16,1.647432699660798,1.6927590239554955,0.1647432699660798,0.3269034726334711,-0.15905111640611908,0.009004037361465402,0.004063279672247863
national_2013,climate,17,1.5802033591685736,0.633111340619623,0.15802033591685735,0.16339885041480778,-0.16834557309968856,0.0033676135139341654,0.0004048881710746742
national_2013,climate,18,1.6311912791103957,0.6613908875716119,0.16311912791103958,0.19168842306372658,-0.13240370433285834,0.003518036636019212,0.00026822515676876266
national_2013,climate,19,1.4862426968691738,1.527814376439645,0.1486242696869174,0.2634182928315112,-0.03849679906863846,0.008126672215104495,0.006526739129147232
national_2013,climate,20,1.610889268821748,1.2596231657306758,0.1610889268821748,0.25355709159788753,-0.127482572434268,0.006700123221971679,0.001854358451944656
national_2013,climate,21,1.7236451890015994,0.9003493417846805,0.17236451890015994,0.23988585616551306,-0.1544619644042991,0.004789092243535535,0.0001859079787531639
national_2013,climate,22,1.6473007280901106,0.7493909124305541,0.16473007280901106,0.1677578155604889,-0.12638591968924562,0.003986121874630607,0.0001369182000146648
national_2013,climate,23,1.6461080855779393,0.5343915255503128,0.16461080855779392,0.16953238154210534,-0.1385978879132909,0.0028425081146293235,0.0001761045006236664
national_2013,climate,24,1.6466954430900493,0.8782139121977843,0.16466954430900493,0.2043338710409827,-0.14938153840588048,0.004671350596796725,0.000364933027596041
national_2013,climate,25,1.6400743556339983,0.9776849705168295,0.16400743556339983,0.25907852818119365,-0.15529966932031744,0.005200451970834199,0.0014966059822311979
national_2013,climate,26,1.5881620412860389,0.7432089605157023,0.1588162041286039,0.16413385270339698,-0.0914030824836813,0.003953239151679267,0.00020322860067845992
national_2013,climate,27,1.56000298569411,0.6692748933070318,0.156000298569411,0.20896031814463956,-0.12215144574287838,0.003559972836739531,0.0012883745520325572
national_2013,climate,28,1.5385705230658264,1.1927331980194036,0.15385705230658264,0.29677874806728266,-0.0901823706139895,0.006344325521379806,0.01157710929383774
national_2013,climate,29,1.6232932937737001,1.7428509560446028,0.16232932937737002,0.37113508275561247,-0.13098024995771648,0.009270483808747888,0.015228210112519479
national_2013,climate,30,1.6286623842911823,0.8385583684265654,0.16286623842911824,0.23805443050998504,-0.16735236041077153,0.004460416853332795,0.0007415985411084879
national_2013,climate,31,1.6241330727647032,0.6021229838013181,0.16241330727647033,0.21802234179431298,-0.15928643134300433,0.0032027818287304155,0.0005585069379698869
national_2013,climate,32,1.566452900662125,1.1215088373853892,0.1566452900662125,0.23355347131476276,-0.11655022853824394,0.005965472539283986,0.0018328447352268286
national_2013,climate,33,1.6296870451498298,2.33390346507849,0.16296870451498296,0.39256667396111383,-0.14245583599919798,0.012414380133396222,0.010056121178384097
national_2013,climate,34,1.5341905494768882,0.5767321069801747,0.15341905494768882,0.1896628753664488,-0.08804636939437784,0.003067723973298802,0.0009132689439726181
national_2013,climate,35,1.5808122842878858,0.772036944236492,0.15808122842878858,0.2498384804891404,-0.15754641067133923,0.004106579490619639,0.0022228113699363085
national_2013,climate,36,1.6239499884079214,0.8339880711763881,0.16239499884079214,0.21650679344240062,-0.11416840116558918,0.004436106761576532,0.0006406767383617191
national_2013,climate,37,1.6042176555131682,0.7959732837880721,0.16042176555131682,0.2771923636208455,-0.12018275377999676,0.004233900445681235,0.0020940399574002097
national_2013,climate,38,1.616184481890743,0.9404558102924241,0.16161844818907428,0.270971368358022,-0.1595711982270925,0.0050024245228320425,0.002468972176291896
national_2013,climate,39,1.5320883696799157,0.6092756590997432,0.15320883696799156,0.1881182879053224,-0.1195641698330867,0.0032408279739348043,0.0011698203761152956
national_2013,climate,40,1.6270251886476217,0.7663239903048352,0.16270251886476217,0.17573838020120158,-0.13315524105547868,0.004076191437791677,0.00022067240989999607
national_2013,climate,41,1.58558762988824,1.2556601680724393,0.15855876298882401,0.2822137530019191,-0.10638043919018104,0.006679043447193826,0.005614460967743056
national_2013,climate,42,1.567813495369571,1.1479948795125587,0.1567813495369571,0.23876607511729106,-0.10426782094165228,0.0061063557420880776,0.0019623760403540786
national_2013,climate,43,1.5817666665820715,1.1278409010538157,0.15817666665820715,0.2780996634444938,-0.08649778767269427,0.005999153729009658,0.0032851315993829874
national_2013,climate,44,1.5468542025367518,0.6227664319132601,0.15468542025367518,0.21616084085976858,-0.0944366313869591,0.0033125874037939367,0.0015384110025299248
national_2013,climate,45,1.5335891052699433,0.8633018611432317,0.15335891052699432,0.25670196151223656,-0.09691227501284833,0.004592031176293786,0.005227107156233081
national_2013,climate,46,1.8492438236521975,0.6966193732773037,0.18492438236521974,0.2080340748330545,-0.1990071648531742,0.0037054221982835305,1.7376100066309444e-05
national_2013,climate,47,1.629066637427288,1.0355011176611983,0.1629066637427288,0.2300318907397537,-0.14384703456737286,0.005507984668410629,0.0009714127799565493
national_2013,climate,48,1.6252221769172204,0.7724903672783948,0.16252221769172204,0.16668339539166876,-0.14709085112104028,0.004108991315310611,0.00019262888683214225
national_2013,climate,49,1.6511100124256748,1.0898377064639369,0.16511100124256747,0.25818327994067336,-0.11298477447268378,0.005797009076935835,0.0006374442315135904
national_2013,climate,50,1.628347038846516,0.6650155770438865,0.1628347038846516,0.16412845299620984,-0.11867519148435318,0.003537316899169609,0.000138034198991161
national_2013,climate,51,1.6789597883615348,0.6048086701080418,0.16789597883615348,0.16168333579197927,-0.17554891304458634,0.003217067394191712,8.339803018913795e-05
national_2013,climate,52,1.4903261935652392,0.5631819993734019,0.14903261935652393,0.1518218049499137,-0.08493238124772055,0.0029956489328372437,0.0007567657414337527
national_2013,climate,53,1.5634831483163636,0.44044666769645774,0.15634831483163636,0.13353523728680547,-0.09903841199909283,0.0023428014239173286,0.00013996625570701206
national_2013,climate,54,1.57987605587246,0.6194576739785401,0.157987605587246,0.15549148529504628,-0.10981138256190037,0.0032949876275454263,0.00042905336302107613
national_2013,climate,55,1.6115601989161834,0.6663422409967799,0.16115601989161835,0.21523450518991466,-0.1663471814091664,0.0035443736223232975,0.0008420149223447671
national_2013,climate,56,1.6641073904722725,0.7432959255626942,0.16641073904722725,0.23995356054068157,-0.1871203661320445,0.003953701731716459,0.000685190523136221
national_2013,climate,57,1.57815449145681,0.7910400603511626,0.157815449145681,0.1928901478206259,-0.1124471258238005,0.0042076598954849075,0.0004729707860354609
national_2013,climate,58,1.5441957207317856,0.5116532818084671,0.15441957207317855,0.14771531581277586,-0.1703696887191573,0.002721560009619506,0.0004165409799142856
national_2013,climate,59,1.62139840881408,1.468614994158736,0.162139840881408,0.30592883167286705,-0.12187896766489204,0.007811781883823065,0.0040814542762513785
national_2013,climate,60,1.5877040493416192,0.6977328025071319,0.15877040493416192,0.19902326913718763,-0.13081667657825477,0.0037113446941868713,0.0006597707318846554
national_2013,climate,61,1.5982422101612697,0.6550655605733624,0.15982422101612698,0.2270220316334825,-0.14384153133138114,0.003484391279645545,0.0011732627167978088
national_2013,climate,62,1.5712772171115208,0.8223022044313347,0.15712772171115208,0.19201046495581192,-0.12852256038090915,0.004373947895911355,0.0008100243081118251
national_2013,climate,63,1.6335242421920508,0.913338095207303,0.1633524242192051,0.2410166663416175,-0.15415952661300392,0.004858181357485654,0.0012143312978512872
national_2013,climate,64,1.6061056017407007,0.972177322981945,0.16061056017407008,0.19976446221390223,-0.08194441078950053,0.005171155973308218,0.000466415118155178
national_2013,climate,65,1.6724968872043078,1.0788249022748995,0.16724968872043078,0.231830699331341,-0.1481639680322262,0.005738430331249465,0.00040408086681384994
national_2013,climate,66,1.6082805175797013,0.8630425559807479,0.16082805175797013,0.20538973473742983,-0.1322093621037446,0.004590651893514617,0.0005946384173074247
national_2013,climate,67,1.6947364503858768,0.5033327866630862,0.1694736450385877,0.1409157752850293,-0.1674848247623108,0.002677302056718544,3.242066559332779e-05
national_2013,climate,68,1.5812766321070937,0.5093946898920888,0.15812766321070937,0.22742675604383017,-0.1784272448655165,0.0027095462228302596,0.0016049310230148047
national_2013,climate,69,1.5871134136427205,1.111023734357698,0.15871134136427206,0.27276638723815816,-0.15340459074785545,0.005909700714668607,0.003373109122928002
national_2013,climate,70,1.5680218556330552,0.7168718568005,0.15680218556330552,0.24712513953961865,-0.10658849781973523,0.0038131481744707453,0.00302621859794931
national_2013,climate,71,1.76889927528785,0.9749309237485584,0.17688992752878502,0.21780894073137033,-0.16634317233674908,0.005185802785896587,6.714104419426561e-05
national_2013,climate,72,1.6008677878229807,0.641506229945373,0.16008677878229807,0.20630678337786934,-0.12217450150546555,0.003412267180560495,0.0005559246025807535
national_2013,climate,73,1.4940119769108382,1.0221171233064468,0.14940119769108381,0.23412422597084911,-0.09724465795344017,0.005436793209076844,0.005117997896386658
national_2013,climate,74,1.5949031277408015,0.7055498743864613,0.15949031277408016,0.22885435871652496,-0.12782991201809762,0.003752924863757773,0.0009416773236195038
national_2013,climate,75,1.6677481819855122,1.1920560235118496,0.16677481819855122,0.2862370973962673,-0.19263764897778496,0.006340723529318349,0.0014045817960128028
national_2013,climate,76,1.5325712255347235,0.5057442032165118,0.15325712255347235,0.09775759187024598,-0.07874703618904208,0.0026901287405133607,0.00010188069582743757
national_2013,climate,77,1.5892094896869093,0.7526840625302673,0.15892094896869094,0.20864366057319025,-0.13336780208763618,0.004003638630480145,0.0009242060647910305
national_2013,climate,78,1.6045108415626863,0.6114459407633739,0.16045108415626863,0.2089248833738432,-0.13662659660774154,0.003252372025337095,0.0008668683639263139
national_2013,climate,79,1.5715529933269223,0.6790151946500653,0.15715529933269223,0.1541555502857065,-0.09207992011297023,0.0036117829502663045,0.00022462045394187007
national_2013,climate,80,1.6456135876904594,1.784301258934019,0.16456135876904593,0.34233963282333046,-0.17854233471053282,0.00949096414326606,0.005559423942082884
national_2013,climate,81,1.599884484707339,0.8931096193454733,0.1599884484707339,0.24498007082545156,-0.1318744528686511,0.004750583081624858,0.0017472957695887864
national_2013,climate,82,1.6152128839191218,0.6786073829940129,0.16152128839191218,0.2354035689355844,-0.1453034424248302,0.003609613739329856,0.0013342888795740168
national_2013,climate,83,1.6081696144894515,0.7683156301569697,0.16081696144894514,0.2215021017641285,-0.1532903049664359,0.004086785266792392,0.0008865812397663342
national_2013,climate,84,1.6423200695805027,1.3545089438389997,0.16423200695805026,0.3348468915310461,-0.13301502735590012,0.007204834807654253,0.007221822767150545
national_2013,climate,85,1.5604727508055818,1.0421660749635198,0.15604727508055818,0.24607096144235008,-0.14603646867546505,0.005543436568954892,0.0029008339979288526
national_2013,climate,86,1.5339879832126533,0.7149670162853191,0.15339879832126532,0.21991042591097942,-0.09771041122105242,0.0038030160440708466,0.0021290874782007706
national_2013,climate,87,1.5473240693798078,0.8969898663068363,0.1547324069379808,0.2097730671102067,-0.08026649293655064,0.004771222693121469,0.0012062471253198217
national_2013,climate,88,1.6947388156033067,0.6003160299767769,0.16947388156033066,0.15761353149672405,-0.18493874545789926,0.0031931703722168987,6.035264031847635e-05
national_2013,climate,89,1.5475092280332032,0.8444401247722465,0.1547509228033203,0.2285981171093122,-0.09581363880730306,0.004491702791341736,0.0019472110610016002
national_2013,climate,90,1.637317358101979,1.3148448326130333,0.1637317358101979,0.26518006345938216,-0.14898432076698864,0.006993855492622518,0.0018587801542741475
national_2013,climate,91,1.6140152130718834,0.961523804035814,0.16140152130718835,0.2074554140930045,-0.12573487537449451,0.0051144883193394355,0.0006876118589529799
national_2013,climate,92,1.5128751262177018,0.6428616734962876,0.15128751262177018,0.12049441216733416,-0.06879756979114514,0.003419476986682381,0.0002188731271245045
