window,axis,value,model,R0,pop_at_risk_M,aic,a_temp,a_rain,nb_k,starts,note
national_2013,climate_location,Peshawar,constant,1.372,0.4915,667.7,,,0.33,4/4,
national_2013,climate_location,Multan,climate,1.61,1.8369,648.6,0.414,-0.014,0.48,2/4,
national_2013,climate_location,Multan,constant,1.372,0.4915,667.7,,,0.33,4/4,
sindh_2021,climate_location,Karachi,climate,1.025,0.1231,212.0,0.0,0.158,2.96,4/4,
sindh_2021,climate_location,Karachi,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,climate_location,Hyderabad,climate,1.398,0.0733,212.0,0.128,0.0,2.92,2/4,
sindh_2021,climate_location,Hyderabad,constant,1.42,0.0578,209.1,,,2.78,4/4,
sindh_2021,climate_location,Sukkur,climate,1.473,0.0685,212.1,0.13,-0.047,2.9,3/4,
sindh_2021,climate_location,Sukkur,constant,1.42,0.0578,209.1,,,2.78,4/4,
kp_2021,climate_location,Peshawar,climate,1.669,0.045,146.3,0.0,-0.066,28.09,1/4,
kp_2021,climate_location,Peshawar,constant,1.706,0.0443,143.0,,,26.64,3/4,
kp_2021,climate_location,Abbottabad,climate,1.682,0.0445,146.3,0.0,-0.079,27.98,4/4,
kp_2021,climate_location,Abbottabad,constant,1.706,0.0443,143.0,,,26.64,3/4,
kp_2021,climate_location,Bannu,climate,1.636,0.0585,145.0,0.097,-0.113,29.96,3/4,
kp_2021,climate_location,Bannu,constant,1.706,0.0443,143.0,,,26.64,3/4,
