country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector_tempmort,central,1.0,0.3,0.92642,4862.835175,0.103665,0.027328
BOLIVIA,LA PAZ,2020-09-13,poisson,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.90597,4576.104265,0.109603,0.028354
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,hostvector,central,1.0,0.3,1.005093,9094.794031,0.27434,0.048271
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,hostvector,alt,1.0,0.3,1.087316,11642.450777,0.310495,0.055078
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,seir,central,1.0,0.3,1.014189,27938.38616,0.280942,0.05393
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,seir,alt,1.0,0.3,0.635831,38117.507231,0.276635,0.050287
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,hostvector_tempmort,central,1.0,0.3,0.964193,4621.343892,0.165496,0.029722
BOLIVIA,LA PAZ,2020-09-13,poisson,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.959089,4190.843198,0.172134,0.030774
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,hostvector,central,1.0,0.3,1.08836,9578.541318,0.114288,0.0374
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,hostvector,alt,1.0,0.3,1.018049,10510.245349,0.133,0.043221
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,seir,central,1.0,0.3,0.947585,62093.409572,0.100668,0.040865
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,seir,alt,1.0,0.3,0.932898,,0.096671,0.037501
BOLIVIA,LA PAZ,2020-09-13,poisson,5,1.0,hostvector_tempmort,central,1.0,0.3,0.937012,4989.565444,0.059026,0.022312
